name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"[PR]ЗАДАННОЕ ПОЛОЖ. ЗАСЛОНКИ ВПУСКА ВОЗДУХА","PR672","222405","(1.0*((A*256+B)-31981.08))/20","0","0","%","7E0"
"[PR]ОЦЕНОЧН. РАСХОД ВОЗДУХА","PR018","222421","(1.0*((A*256+B)))/10","0","0","mg/cp","7E0"
"[PR]НАПРЯЖ. ДАТЧИКА ДАВЛ. НА ВХОДЕ ТУРБИНЫ","PR782","22FD86","(1.0*((A*256+B)))/6553","0","0","V","7E0"
"[PR]НАПРЯЖЕНИЕ ДАТЧИКА ТЕМП. НА ВХОДЕ ТУРБИНЫ","PR668","22243A","((A*256+B))*0.0001526018","0","0","V","7E0"
"[PR]ЗАРЯД ОТ ГЕНЕРАТОРА","PR002","222099","(A)*0.3921568","0","0","%","7E0"
"[PR]ПОДАЧА ЗАБИРАЕМОГО ВОЗДУХА","PR146","222412","(1.0*((A*256+B)))/10","0","0","mg/cp","7E0"
"[PR]СЦО КЛАПАНА РЕГУЛ. ПОДАЧИ ТОПЛ. В РАМПУ","PR864","22FDB6","(1.0*((A*256+B)))/655.36","0","0","%","7E0"
"[PR]КОМАНДА ВПУСКНОЙ ЗАСЛОНКИ","PR279","222406","(1.0*((A*256+B)-32767))/100","0","0","%","7E0"
"[PR]НАПРЯЖ. ДАТЧ. ПОЛОЖ. ЗАСЛ. ВПУСКА ВОЗД.","PR774","222417","(1.0*(A*256+B))/1000","0","0","V","7E0"
"[PR]СР.ПЕРИОД СИГНАЛА ДАТЧИКА РАСХОДА ВОЗДУХА","PR1022","22FD69","(A*256+B)","0","0","мкс","7E0"
"[PR]ТЕМП. ПЕРЕД БЛОКОМ ЗАСЛ. ВПУСКА ВОЗДУХА","PR1024","22244D","(1.0*((A*256+B)-2730))/10","0","0","*C","7E0"
"[PR]НАПР ПИТ. ДАТЧИКА ЗАСЛОНКИ ВПУСКА ВОЗДУХА","PR1023","2224D6","(1.0*(A*256+B))/1000","0","0","V","7E0"
"[PR]РЕЖИМ ПРЕДПУСКОВОГО ПОДОГРЕВА","PR891","22219A","(1.0*((A*256+B)))/4","0","0","%","7E0"
"[PR]СЧЕТЧИК ПОТЕРИ СИНХРОНИЗАЦИИ КОЛЕНВАЛА","PR1026","222162","(A*256+B)","0","0","","7E0"
"[PR]ПОЛОЖЕНИЕ РОГ","PR136","222407","0.0488*((A*256+B))","0","0","%","7E0"
"[PR]НАПРЯЖЕНИЕ ПИТАНИЯ ДАТЧИКА СРОГ","PR1033","2224D5","(A*256+B)","0","0","mV","7E0"
"[PR]ОБЩИЙ РАСХОД СИСТЕМЫ ВПРЫСКА","PR1031","222809","(1.0*((A*256+B)))/100","0","0","mg/cp","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ 287A","PR1034","22287A","{A:0}","0","0","","7E0"
"[PR]СОСТОЯНИЕ АДАПТ. ЦИЛ. 1","PR1035","22FD15","A","0","0","","7E0"
"[PR]СОСТОЯНИЕ АДАПТ. ЦИЛ. 2","PR1036","22FD16","A","0","0","","7E0"
"[PR]СОСТОЯНИЕ АДАПТ. ЦИЛ. 3","PR1037","22FD17","A","0","0","","7E0"
"[PR]СОСТОЯНИЕ АДАПТ. ЦИЛ. 4","PR1038","22FD18","A","0","0","","7E0"
"[PR]ЗАДАН. ЗНАЧ. ТЕМПЕРАТ. НА ВХОДЕ ТУРБИНЫ","PR889","222438","(1.0*((A*256+B)-2730))/10","0","0","*C","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ 24D0","PR1054","2224D0","A","0","0","","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD19","PR1039","22FD19","(1.0*((A*256+B)-32768))/2041.466","0","0","","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD1A","PR1040","22FD1A","(1.0*((A*256+B)-32768))/2041.466","0","0","","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD1B","PR1041","22FD1B","(1.0*((A*256+B)-32768))/2041.466","0","0","","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD1C","PR1042","22FD1C","(1.0*((A*256+B)-32768))/2041.466","0","0","","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD42","PR1059","22FD42","A","0","0","","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD43","PR1060","22FD43","A","0","0","","7E0"
"[PR]ДАВЛЕНИЕ ХЛАДАГЕНТА","PR037","22222A","(1.0*((A*256+B)))/10","0","0","bar","7E0"
"[PR]PARAMETRE PRIVE 4","PR306","222057","10*(A*256+B)","0","0","W","7E0"
"[PR]МОЩНОСТЬ ГЕНЕРАТОРА","PR1029","222057","10*(A*256+B)","0","0","W","7E0"
"[PR]СТЕПЕНЬ РАЗЖИЖЕНИЯ МОТОРНОГО МАСЛА","PR932","222294","(1.0*(signed(A*16777216+B*65536+C*256+D)))/214748364.8","0","0","%","7E0"
"[PR]ОТОБРАЖАЕМАЯ СКОРОСТЬ АВТОМОБИЛЯ","PR851","222050","(1.0*((A*256+B)))/100","0","0","км/час","7E0"
"[PR]ДАВЛЕНИЕ В КОЛЛЕКТОРЕ","PR312","22240B","(A*256+B)","0","0","мбар","7E0"
"[PR]МАССА САЖИ ПОСЛЕ РЕГЕНЕРАЦИИ","PR1012","2224A5","(1.0*((A*256+B)))/100","0","0","грамм","7E0"
"[PR]ИНФОРМАЦИЯ О СНИЖЕНИИ ВЯЗКОСТИ  МАСЛА","PR875","222489","(1.0*((A*256+B)))/655","0","0","%","7E0"
"[PR]СУММАРНЫЙ ПРОБЕГ В KM","PR992","222006","(A*65536+B*256+C)","0","0","km","7E0"
"[PR]ПОЛОЖЕНИЕ КЛАПАНА СРОГ НИЗКОГО ДАВЛЕНИЯ","PR1286","222561","(1.0*((A*256+B)))/20.492","0","0","%","7E0"
"[PR]ПОЛОЖЕНИЕ ЗАСЛОНКИ ВЫПУСКА ВОЗДУХА","PR1222","22256B","(1.0*((A*256+B)))/20.492","0","0","%","7E0"
"[PR]ПРОБЕГ ПОСЛЕ ПОСЛ. УСТРАН. НЕИСПРАВНОСТИ","PR1028","190685","(E*65536+F*256+G)","0","0","km","7E0"
"[PR]НАПР. ПИТАНИЯ КЛАПАНА НИЗК. ДАВЛ. СРОГ","PR1226","22257B","(A*256+B)","0","0","mV","7E0"
"[PR]СЦО ЗАСЛОНКИ ВЫПУСКА ВОЗДУХА","PR1214","222569","(1.0*((A*256+B)-32768))/100","0","0","%","7E0"
"[PR]УСТАВКА ПОЛОЖЕНИЯ ЗАСЛ. ВЫПУСКА","PR1224","22256A","(1.0*((A*256+B)-32767))/20.492","0","0","%","7E0"
"[PR]СМЕЩЕНИЕ ЗАСЛОНКИ ВЫПУСКА ВОЗДУХА","PR1218","22256C","(1.0*((A*256+B)))/20","0","0","%","7E0"
"[PR]АБС. ПОЛОЖЕНИЕ ЗАСЛ. ВЫПУСКА","PR1225","22256F","(1.0*((A*256+B)))/20.492","0","0","%","7E0"
"[PR]НАПР. ПИТ. ДАТЧИКА ЗАСЛ. ВЫП. ВОЗД.","PR1239","22257D","(A*256+B)","0","0","mV","7E0"
"[PR]ПЕРВОЕ СМЕЩ. ОТКР. ЗАСЛ. ВЫП. ВОЗДУХА","PR1215","222578","(1.0*((A*256+B)))/20","0","0","%","7E0"
"[PR]ПЕРВОЕ СМЕЩЕНИЕ ЗАКРЫТОЙ ЗАЛОНКИ ОГ","PR1209","22256D","(1.0*((A*256+B)))/20","0","0","%","7E0"
"[PR]КОНТР. ЗН. ПОЛ. СРОГ НИЗКОГО ДАВЛ.","PR1227","22257C","(1.0*((A*256+B)-32768))/100","0","0","%","7E0"
"[PR]СЦО НИЗКОГО ДАВЛЕНИЯ СРОГ","PR1213","222567","(1.0*((A*256+B)-32768))/100","0","0","%","7E0"
"[PR]ПОСЛ. СМЕЩ. ЗАКР. КЛ. СРОГ НИЗКОГО ДАВЛ.","PR1208","222562","(1.0*((A*256+B)))/20","0","0","%","7E0"
"[PR]ПОЛОЖЕНИЕ КЛАПАНА СРОГ НИЗКОГО ДАВЛЕНИЯ","PR1206","222564","(1.0*((A*256+B)))/20.492","0","0","%","7E0"
"[PR]ПЕРВ. СМЕЩ. КЛАПАНА СРОГ НИЗКОГО ДАВЛЕНИЯ","PR1205","222563","(1.0*((A*256+B)))/20","0","0","%","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD9C","PR1141","22FD9C","(1.0*((A*256+B)-32768))/10","0","0","","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD96","PR1140","22FD96","(1.0*((A*256+B)))/2041.466","0","0","","7E0"
"[PR]ФАЗИРОВКА ПОСЛЕ ВПРЫСКА","PR1245","222813","(1.0*((A*256+B)-32767))/50","0","0","*V","7E0"
"[PR]РАСХОД ПОСЛЕ СИСТЕМЫ ВПРЫСКА","PR1229","22280D","(1.0*((A*256+B)))/100","0","0","mg/cp","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD2D","PR1045","22FD2D","0.00152588*(A*256+B)","0","0","%","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD2F","PR1046","22FD2F","0.0211948*(A*256+B)","0","0","mg/cp","7E0"
"[PR]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD2E","PR1130","22FD2E","(A*256+B)","0","0","об/мин","7E0"
"[PR]КОР. ДИФ. ДАВ. ПРОТИВОСАЖ. ФИЛЬТРА","PR1236","2224FB","(A*256+B)-32768","0","0","мбар","7E0"
"[PR]ДАТЧ. ПОЛ. КЛ. СРОГ НИЗК. ДАВЛ. ЗАБЛОК.","PR1230","22259E","(A*256+B)","0","0","mV","7E0"
"[PR]СООТНОШЕНИЕ КИСЛОРОДА","PR1288","222519","0.1*(A*256+B)","0","0","%","7E0"
"[PR]НЕСКОРР. ЗНАЧЕНИЕ ДАВЛЕНИЯ В КОЛЛЕКТОРЕ","PR1077","2224E1","(A*256+B)","0","0","мбар","7E0"
"[PR]ТЕМПЕРАТУРА ВОЗДУХА","PR058","22EF0F","A-40","0","0","*C","7E0"
"[PR]КОЛИЧЕСТВО ЗАПУСКОВ 1","PR1309","22216B","(A*65536+B*256+C)","0","0","","7E0"
"[PR]КОЛИЧЕСТВО ЗАПУСКОВ 2","PR1310","22216A","(A*65536+B*256+C)","0","0","","7E0"
"[PR]КОЛИЧЕСТВО ЗАПУСКОВ 3","PR1311","222169","(A*65536+B*256+C)","0","0","","7E0"
"[PR]КОЛИЧЕСТВО ЗАПУСКОВ 4","PR1312","222168","(A*65536+B*256+C)","0","0","","7E0"
"[PR]НАПР. ДАТЧИКА ПОЛ. ВОЗД. КЛ. ОГ","PR1235","22FD28","0.000152588*(A*256+B)","0","0","V","7E0"
